produc-1,produc-2,produc-3,produc-4,produc-5,produc-6,produc-7,produc-8,produc-9,produc-10
2,2,2,2,2,2,2,2,2,2
1,4,5,2,1,5,5,1,5,1
2,4,5,2,2,2,2,2,4,2
4,2,5,2,1,5,1,2,4,1
2,2,2,2,2,2,2,2,2,2
5,4,4,4,4,2,1,1,2,1
4,2,1,1,1,1,1,2,2,2
2,2,5,1,1,1,4,2,5,1
1,4,2,4,4,2,2,4,2,2
2,2,2,4,2,4,2,4,4,4
1,2,5,2,1,1,1,4,2,2
2,1,5,2,2,4,4,4,4,1
2,1,4,4,4,1,2,2,1,2
2,2,2,2,2,2,4,2,4,2
2,1,4,1,1,4,2,4,5,1
2,2,5,2,2,1,1,2,2,1
4,5,4,2,2,4,2,4,2,2
2,2,2,2,2,2,4,2,4,2
1,4,5,2,5,2,2,4,2,2
2,2,4,2,1,2,2,2,4,1
4,2,4,2,4,4,4,2,4,1
2,1,4,2,4,2,1,4,2,4
2,5,4,4,2,4,2,2,4,2
2,2,4,2,2,2,4,2,2,4
4,1,1,1,1,5,5,1,1,2
5,2,5,1,2,5,2,1,5,2
1,1,4,1,1,4,4,1,4,1
2,2,2,2,2,2,2,2,2,2
2,2,1,2,2,2,4,5,4,1
1,1,5,2,2,2,2,1,1,2
4,2,2,1,2,2,2,5,2,1
1,2,5,4,1,5,1,5,5,1
1,2,2,2,2,2,2,2,4,1
2,2,2,5,5,5,5,5,5,2
2,4,5,2,2,2,2,2,2,2
1,2,5,4,5,1,2,2,2,1
2,5,4,4,2,4,2,2,4,2
2,1,4,2,2,4,4,4,5,2
4,2,5,2,2,2,2,2,4,1
1,1,5,2,2,2,2,1,1,2
4,4,2,2,4,4,4,2,2,2
1,1,5,2,2,2,2,1,1,2
2,2,2,2,4,2,2,4,4,2
5,1,1,1,1,1,1,1,1,5
4,2,5,2,2,5,2,1,5,2
1,2,5,1,1,4,1,5,1,1
5,1,5,4,2,5,5,1,5,5
2,2,4,4,4,5,2,4,2,1
4,4,5,5,2,5,2,4,2,4
2,2,2,2,2,2,4,2,4,2
2,1,4,1,1,4,2,4,5,1
2,1,1,4,2,2,5,1,2,1
4,2,2,1,1,1,1,1,5,1
1,4,5,2,5,2,2,4,2,4
1,1,1,5,1,1,4,5,2,5
2,1,4,1,1,4,2,4,5,1
2,5,4,4,2,4,2,2,4,2
1,2,4,2,2,4,2,4,4,2
2,2,2,2,1,2,5,1,5,2
5,2,4,2,1,4,2,4,2,1
2,2,4,2,1,2,2,4,4,1
5,2,4,2,1,4,2,4,2,1
4,4,4,5,1,4,2,1,1,5
2,2,1,2,2,2,4,5,4,1
4,5,4,2,2,4,4,4,4,4
2,2,2,2,2,2,2,2,2,2
4,2,4,2,2,2,2,2,4,1
2,1,2,1,1,5,1,5,5,5
4,2,4,2,2,2,2,2,4,1
1,4,5,2,5,2,2,4,2,4
2,2,2,2,2,2,4,2,4,2
5,1,1,4,2,4,4,2,4,2
4,2,4,2,2,2,2,4,2,2
4,2,4,2,2,2,2,2,4,1
5,5,4,1,5,5,1,1,1,1
5,2,2,1,2,5,4,2,2,2
4,2,2,2,1,2,4,2,5,4
1,1,4,1,2,1,2,2,5,1
1,1,4,1,1,5,2,1,4,2
2,1,4,4,4,1,2,2,1,2
5,1,5,4,2,5,5,1,5,5
1,1,2,2,4,4,4,2,4,1
1,1,1,5,1,5,1,5,2,1
2,2,4,4,4,5,2,4,2,1
1,2,4,4,2,1,1,2,2,4
5,2,5,1,1,5,2,4,4,5
2,2,2,2,2,2,2,2,2,2
5,4,2,2,4,5,4,2,1,2
2,2,5,1,1,5,1,4,5,1
2,2,2,2,2,2,2,2,2,2
2,1,5,1,1,2,2,2,4,1
1,1,5,2,2,5,1,4,2,1
1,2,4,4,4,4,1,1,2,1
1,2,4,4,2,5,1,2,2,1
4,2,5,4,2,4,4,2,5,5
2,2,5,2,4,5,2,1,4,1
5,2,1,1,1,2,4,2,5,1
4,5,2,4,1,4,4,4,2,1
4,2,5,2,2,2,2,2,4,1
5,1,4,2,4,4,4,2,2,1

